Rk,Player,Age,Team,Pos,G,Games Started,Min Played,PER,True Shooting %,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
102,Draymond Green,35,GSW,PF,68,68,1869,10.4,54.0%,63.1%,17.1%,3.2,19.5,11.2,27.3,1.6,2.1,25.5,16.1,-0.4,2.1,1.7,0.044,-2.4,1,-1.4,0.3,DPOY-11
103,Victor Wembanyama,22,SAS,C,64,55,1866,29.9,62.6%,32.4%,41.7%,7.7,33.9,21.2,17.6,1.7,9.4,10.8,32.4,5,5,10,0.257,6.5,4.2,10.7,6,"MVP-3,DPOY-1,AS,NBA1,DEF1"
104,Russell Westbrook,37,SAC,SF,64,58,1853,15.1,52.8%,45.2%,21.8%,4.7,16.6,10.5,34.3,2.2,0.6,18.5,25.9,-0.6,0.9,0.4,0.009,0.6,-1,-0.4,0.7,
105,Jamal Shead,23,TOR,PG,82,12,1852,10.5,49.1%,52.0%,23.0%,1.6,7.2,4.4,30.6,2,0.8,16.8,15.5,0.8,2,2.7,0.07,-2.3,0,-2.3,-0.1,6MOY-12
106,Pelle Larsson,24,MIA,SG,70,54,1849,13.1,60.5%,34.3%,41.3%,3.8,9.9,6.8,16.8,1.2,0.8,13.3,16.8,2.6,1.5,4.1,0.106,-1.2,0,-1.2,0.4,
107,Luguentz Dort,26,OKC,SF,69,69,1849,8.3,52.4%,71.0%,11.1%,3.4,10.7,7.2,5.9,1.6,1.4,8.9,14.1,0,3,3,0.078,-2.8,0.8,-2,0,
108,Sion James,23,CHO,SG,82,19,1843,8.3,53.1%,63.4%,26.3%,3.1,14.3,8.8,11.4,1.4,1,13.5,11,1.1,1.9,3.1,0.08,-3,1.1,-2,0,
109,Zion Williamson,25,NOP,PF,62,55,1841,22.6,64.4%,0.5%,57.6%,7.2,13.5,10.3,17.7,1.6,1.7,11.1,25.7,5,1,6.1,0.159,3.5,-0.6,2.9,2.3,
110,Jaylen Wells,22,MEM,SG,69,69,1821,11.5,55.9%,52.3%,24.5%,3.6,9.6,6.5,8.8,1.6,0.5,8.7,19.3,0.9,0.7,1.6,0.042,-1.8,-1.4,-3.1,-0.5,
111,Nikola Vu_evi_,35,2TM,C,64,49,1818,17.7,57.4%,33.9%,11.6%,7.5,23.9,15.8,17.7,1,2,9.2,21.4,2.5,1.9,4.4,0.116,1.4,0.1,1.5,1.6,
111,Nikola Vu_evi_,35,CHI,C,48,48,1480,18.2,58.5%,33.0%,11.2%,7.3,23.4,15.5,18.7,1,1.8,9.1,21.5,2.2,1.3,3.5,0.115,1.9,-0.1,1.8,1.4,
111,Nikola Vu_evi_,35,BOS,C,16,1,338,15.8,52.6%,38.1%,13.7%,8.3,25.8,17.2,13.6,1,3,9.8,21,0.3,0.6,0.9,0.124,-0.8,1,0.2,0.2,
112,Oso Ighodaro,23,PHO,PF,82,24,1808,13.8,63.6%,0.3%,32.0%,8.2,17.8,12.8,14.2,2,3,19.5,12.2,2.1,2.6,4.7,0.125,-2.2,2.3,0.1,0.9,
113,Kyle Kuzma,30,MIL,PF,69,43,1806,14.1,58.1%,34.7%,27.0%,3.6,15.9,9.8,15.5,1.3,1.5,13.4,21.8,0.9,1,1.9,0.051,-1,-1.3,-2.3,-0.1,
114,Kyle Filipowski,22,UTA,C,77,41,1801,16,58.6%,34.7%,32.3%,8.4,25.1,16.6,15.7,1.9,2.1,14.3,20,1.8,1.3,3.1,0.082,-0.6,-0.5,-1.1,0.4,
115,Andrew Nembhard,26,IND,PG,57,57,1786,15.7,56.4%,39.3%,31.1%,1.5,8.4,4.9,37,1.4,0.4,13.8,23.6,2.2,0.7,2.8,0.077,1.1,-1.9,-0.8,0.6,
116,Keyonte George,22,UTA,PG,54,54,1786,18.5,60.9%,41.0%,42.9%,1.4,10.9,6,28.4,1.5,0.8,13.7,27.9,3.1,0.1,3.3,0.088,3,-2.1,0.9,1.3,
117,Noah Clowney,21,BRK,PF,66,60,1780,11.2,55.4%,62.1%,35.5%,3.2,15.3,8.9,9.5,1.4,2.3,12.3,20.4,-0.1,1.2,1.1,0.029,-2.3,-1.1,-3.4,-0.6,
118,Jaylon Tyson,23,CLE,SG,66,42,1777,14.8,60.8%,44.5%,16.0%,7.3,13.6,10.5,11.6,1.5,1.5,12.1,19.3,2.3,1.7,4,0.108,0.6,-0.5,0.1,0.9,
119,Marcus Smart,31,LAL,SG,62,54,1769,9.9,54.3%,61.6%,27.1%,2.5,8.7,5.7,13.6,2.4,1.2,14.7,15.4,0.4,1.6,2,0.054,-2.9,0.6,-2.2,-0.1,
120,Brice Sensabaugh,22,UTA,SF,75,22,1762,14.4,59.0%,51.6%,23.5%,3.4,11,7.1,12.4,1.4,0.7,11.6,24.9,1,0.1,1.1,0.029,0.4,-3,-2.6,-0.3,
121,Austin Reaves,27,LAL,SG,51,45,1762,20.2,64.1%,43.0%,48.7%,2.3,13.3,8,24,1.6,1.1,14,26.7,4.2,1.4,5.6,0.153,3.4,-0.6,2.8,2.1,
